bf,HR,BV,UB
5 Gamma2 Ari,546,-0.04,-0.13
5 Gamma1 Ari,545,,
111 Xi Psc,549,0.94,0.72
Psi Phe,555,1.59,1.7
,540,0.18,0.11
Phi Phe,558,-0.06,-0.15
45 Epsilon Cas,542,-0.15,-0.6
6 Beta Ari,553,0.13,0.1
,551,1.25,
Eta2 Hyi,570,0.95,0.64
,552,1.17,
,571,0.37,0.01
Sigma Hyi,593,0.44,0.01
7 Ari,559,1.19,1.04
,560,0.56,0.04
,556,1.63,
Chi Eri,566,0.85,0.46
46 Omega Cas,548,-0.1,-0.4
56 And,557,1.06,0.91
56 Cet,565,1.42,1.67
,573,0.48,-0.04
,574,0.88,0.52
8 Iota Ari,563,0.92,0.7
,564,1.6,1.89
,584,0.9,0.62
9 Lambda Ari,569,0.28,0.09
,562,-0.06,-0.39
,576,1.02,
,561,-0.04,-0.4
3 Per,568,1.01,
Alpha Hyi,591,0.28,0.14
,578,0.19,0.1
,577,1.03,
,567,0.01,-0.05
,588,1.06,
,600,1.17,1.21
57 Cet,583,1.65,1.98
59 Upsilon Cet,585,1.57,1.91
112 Psc,582,0.62,0.19
,587,1.52,1.34
Pi For,594,0.88,0.46
Chi Phe,602,1.49,1.82
48 Cas,575,0.16,0.06
113 Alpha Psc,596,0.03,-0.05
113 Alpha Psc,595,,
4 Per,590,-0.08,-0.32
,606,0.14,0.19
,601,1.59,1.83
52 Cas,586,0.03,0.02
,572,1.14,
3 Epsilon Tri,599,0.03,0.06
,608,0.98,0.74
53 Cas,589,0.38,-0.27
,579,,
60 Cet,607,0.15,0.13
50 Cas,580,-0.01,0.03
10 Ari,605,0.54,0.02
,611,1.59,1.97
,609,1.42,
61 Cet,610,0.88,0.5
57 Gamma1 And,603,1.37,1.58
57 Gamma2 And,604,0.03,-0.12
Nu For,612,-0.17,-0.51
,598,0,-0.05
47 Cas,581,0.31,0.05
49 Cas,592,0.95,0.75
,614,1.65,1.82
,616,0.9,0.63
12 Kappa Ari,613,0.11,0.13
11 Ari,615,-0.03,-0.26
13 Alpha Ari,617,1.15,1.12
58 And,620,0.12,0.14
,619,,
,618,0.61,-0.02
,625,1.61,2.02
,632,1.19,1.08
,624,,
14 Ari,623,0.33,0.15
,597,0.11,0.06
4 Beta Tri,622,0.14,0.1
,630,0.29,
,636,0.9,
,621,0.95,
,637,0.82,0.45
15 Ari,631,1.65,1.91
59 And,628,-0.02,-0.09
59 And,629,-0.07,-0.17
16 Ari,633,1.36,
64 Cet,635,0.56,0.14
,638,0.39,-0.03
5 Tri,634,0.11,0.14
5 Per,627,0.33,-0.43
63 Cet,639,0.97,0.7
6 Tri,642,0.78,0.31
,644,1.37,
66 Cet,650,0.57,0.09
17 Eta Ari,646,0.43,-0.05
Mu For,652,-0.02,-0.06
65 Xi1 Cet,649,0.89,0.6
,651,1.01,0.78
19 Ari,648,1.55,1.94
60 And,643,1.48,1.74
,626,0.91,
,645,0.93,0.62
,641,0.6,0.23
,647,0.4,-0.07
Pi1 Hyi,667,1.55,1.85
55 Cas,640,0.63,0.33
,659,0.97,
,658,-0.02,-0.07
Pi2 Hyi,678,1.3,1.48
21 Ari,657,0.49,0.01
20 Ari,656,0.44,0.04
7 Tri,655,-0.01,-0.03
,653,,
Phi Eri,674,-0.12,-0.39
,654,0.28,-0.66
67 Cet,666,0.96,0.76
8 Delta Tri,660,0.61,0.02
,665,1.02,0.85
9 Gamma Tri,664,0.02,0.02
,663,,
8 Per,661,1.17,
,672,0.6,0.1
7 Per,662,1.05,0.79
22 Theta Ari,669,0.01,0.03
10 Tri,675,0.04,0.05
,676,0.34,0.08
,683,0.73,0.18
,671,,
62 And,670,-0.01,0
68 Omicron Cet,681,1.42,1.09
,673,,
,686,1.16,
,677,-0.09,-0.37
,684,0.08,0.09
,688,1.55,1.95
,680,,
,668,-0.03,-0.09
,679,-0.08,-0.47
63 And,682,-0.13,-0.38
Delta Hyi,705,0.03,0.05
69 Cet,689,1.65,1.87
,692,0.35,0.02
,693,1.23,1.35
,698,1,
70 Cet,691,0.31,0.1
9 Per,685,0.37,-0.11
Kappa For,695,0.6,0.12
,687,0.27,0.05
Kappa Hyi,715,1.09,1.04
,701,0.22,
,697,0.94,
,700,1.61,1.94
,690,0.86,0.64
,703,1.32,
64 And,694,0.98,0.76
,706,0.66,
24 Xi Ari,702,-0.1,-0.48
Lambda Hor,714,0.39,0.06
71 Cet,704,0,-0.14
10 Per,696,0.31,-0.62
,722,1.54,1.46
65 And,699,1.53,1.89
72 Rho Cet,708,-0.03,-0.07
,710,0.15,0.1
,713,1.26,1.33
Kappa Eri,721,-0.14,-0.5
,711,1.43,1.82
11 Tri,712,1.12,
66 And,709,0.41,
,719,0.97,0.79
Phi For,724,0.1,
,734,-0.04,-0.05
73 Xi2 Cet,718,-0.06,-0.12
12 Tri,717,,0.1
,727,1.11,1.07
13 Tri,720,0.58,0.01
Iota Cas,707,0.12,0.06
,723,0.15,0.14
,716,0.09,0
,725,1.02,0.85
,730,0.19,0.15
,733,0.29,
,726,1.07,
,728,0.41,0.06
,735,1.61,2
26 Ari,729,0.25,0.1
,732,0.17,0.17
27 Ari,731,0.9,0.55
,737,1.27,1.41
Mu Hyi,776,0.98,0.73
1 Alpha UMi,424,0.6,0.38
76 Sigma Cet,740,0.45,-0.02
14 Tri,736,1.47,1.78
75 Cet,739,1.02,0.84
,742,1.02,0.74
,738,1.07,
29 Ari,741,0.54,0.04
Lambda1 For,744,1.06,
,762,-0.06,
,745,1.1,
Omega For,749,-0.05,-0.13
,755,0.52,0.07
77 Cet,752,1.4,1.65
,751,1.06,0.89
,746,-0.1,-0.34
,748,1.39,
15 Tri,750,1.66,1.93
78 Nu Cet,754,0.87,0.53
80 Cet,759,1.59,1.93
,753,0.98,0.81
Iota1 For,767,1.02,
,766,1.04,0.86
