bf,HR,BV,UB
51 Cam,2975,1.18,
,3019,-0.02,-0.08
,3032,-0.17,-0.55
,3023,-0.19,-0.81
,3035,-0.1,-0.65
80 Pi Gem,3013,1.6,1.95
,3037,-0.14,-0.85
,3026,1.78,1.92
,3027,1.7,1.97
5 Pup,3029,0.48,-0.02
Omicron Pup,3034,-0.05,-1.02
,3041,1.58,1.9
,3056,1.01,0.38
,3046,1.06,0.92
82 Gem,3021,,
,3033,0.78,0.38
,3043,0.76,
,3030,1.38,
,3062,1.13,0.84
,3070,0.42,-0.01
,3058,-0.14,-0.85
,3055,-0.18,-1.01
,3049,-0.05,-0.19
7 Xi Pup,3045,1.24,1.16
,3057,0.96,0.72
,3042,-0.09,-0.47
,3052,1.61,1.95
,3081,-0.04,-0.16
6 Pup,3044,1.28,1.49
,3048,0.58,0.12
,3076,1.24,
,3051,1.26,
,3047,1.44,1.56
,3071,1.09,1.02
,3069,0.9,
,3050,1.12,1.01
,3054,1.13,
,3060,-0.01,-0.06
,3040,0.15,0.15
,3028,0.46,0.02
,3074,-0.17,-0.76
,3078,-0.18,-0.84
8 Pup,3063,0.39,
13 Zeta CMi,3059,-0.12,-0.49
,3068,0.96,0.7
9 Pup,3064,0.6,0.06
,3053,1.13,
,3061,1.59,1.62
,3080,1.04,0.78
,3079,0.44,-0.06
10 Pup,3073,0.37,0.21
,3088,-0.15,-0.89
,3039,,
,3084,-0.19,-0.69
,3072,0.41,0
,3085,1.16,
,3089,-0.23,-0.93
,3090,-0.14,-1
83 Phi Gem,3067,0.09,0.1
,3091,-0.19,-0.73
25 Lyn,3065,1.15,1.07
,3092,1.53,1.86
26 Lyn,3066,1.46,
,3105,1.3,1.44
,3100,-0.01,-0.2
,3096,,
,3087,0.35,0.02
85 Gem,3086,-0.04,-0.06
,3083,0.28,-0.02
,3101,-0.11,-0.49
,2997,0.73,0.28
,3120,1.55,1.8
,3099,1.66,1.5
,3093,0.98,0.74
,3107,-0.18,-0.74
,3077,,
Chi Car,3117,-0.18,-0.67
,3126,2.08,2.29
11 Pup,3102,0.72,0.42
,3114,-0.18,-0.74
,3111,1.36,1.61
1 Cnc,3095,1.28,
,3139,-0.1,
,3097,1,0.86
,3098,0.5,0
,3116,-0.17,
,3118,-0.1,-0.5
,3113,0.15,0.18
,3138,0.57,0
,3121,1.27,1.36
,3103,-0.04,-0.07
,3129,-0.17,-0.96
,3094,1.06,0.91
14 CMi,3110,0.92,0.71
,3133,0.25,
,3104,1.47,
,3147,-0.09,-0.8
,3137,-0.14,
12 Pup,3123,1.12,0.92
,3142,,
,3143,,
,3171,0.14,0.13
,3140,0.39,0.02
,3115,1.32,
,3153,1.74,1.91
,3152,-0.06,-0.4
27 Mon,3122,1.21,1.21
,3131,0.08,0.08
,3075,1.42,1.64
,3148,0.04,0.08
,3146,1.27,
,3159,-0.17,-0.62
,3151,-0.11,
,3135,-0.07,-0.81
3 Cnc,3128,1.32,
,3125,1.11,
,3156,-0.14,-0.52
2 Omega1 Cnc,3124,1.02,0.88
,3127,,
28 Mon,3141,1.49,1.78
,3136,0,0.01
,3106,0.39,-0.04
,3157,-0.04,-0.65
5 Cnc,3134,-0.02,-0.02
,3161,-0.15,-0.62
,3154,0.14,0.14
53 Cam,3109,0.14,0.06
4 Omega2 Cnc,3132,0.01,0.03
,3144,0.57,0.13
,3130,1.56,
,3155,1.62,1.88
,3145,1.25,1.28
,3150,0.62,0.13
,3112,0.59,0.35
,3119,0.62,0.16
,3162,-0.15,-0.47
,3160,1.22,1.28
,3166,1.01,0.76
Chi Gem,3149,1.12,1.09
Zeta Pup,3165,-0.26,-1.11
,3170,1.91,1.95
14 Pup,3168,-0.16,-0.72
,3178,1.21,1.03
,3186,-0.1,
,3158,-0.05,-0.12
,3082,-0.06,-0.14
,3180,1.34,1.6
8 Cnc,3163,0.01,-0.01
,3179,-0.15,-0.67
,3164,0.01,-0.09
,3177,1.11,0.88
,3172,1.05,1.01
9 Mu1 Cnc,3169,1.66,1.91
,3174,-0.07,-0.12
,3187,1.5,1.73
28 Lyn,3167,-0.02,-0.13
,3183,0.1,0.16
15 Rho Pup,3185,0.43,0.19
10 Mu2 Cnc,3176,0.63,0.21
Epsilon Vol,3223,-0.11,-0.46
,3217,-0.06,
27 Lyn,3173,0.05,0
29 Zeta Mon,3188,0.97,0.69
,3195,-0.04,-0.56
12 Cnc,3184,0.43,0.01
,3190,0.16,
,3189,0.01,-0.09
,3220,0.43,-0.03
16 Pup,3192,-0.15,-0.6
,3196,1.4,1.6
,3203,-0.12,-0.42
,3199,0.89,
,3181,1.27,
,3194,-0.17,-0.74
Gamma1 Vel,3206,-0.23,-0.92
Gamma2 Vel,3207,-0.22,-0.99
,3218,0.21,
,3204,-0.19,
,3213,-0.21,-0.89
,3205,-0.04,-0.32
,3175,1.39,1.5
14 Psi Cnc,3191,0.81,0.43
18 Pup,3202,0.49,0
,3198,0.02,0.04
,3219,-0.01,-0.87
,3227,-0.15,-0.63
19 Pup,3211,0.95,0.74
,3201,-0.1,-0.42
,3225,1.62,1.86
,3193,0.59,0.09
,3226,0.18,0.08
,3212,0.89,0.6
,3232,0.59,0.39
16 Zeta1 Cnc,3208,0.54,0.06
16 Zeta1 Cnc,3209,0.54,0.06
16 Zeta2 Cnc,3210,0.6,0.13
,3214,,
,3234,-0.11,-0.57
,3230,0.06,0.07
,3182,1.04,0.81
,3233,0.1,0.08
,3222,0.89,
15 Cnc,3215,-0.07,-0.12
20 Pup,3229,1.07,0.78
,3237,-0.11,-0.98
,3247,1.61,2
,3244,-0.14,-0.63
,3238,1.14,
,3224,0.11,0.12
,3200,1.01,0.79
,3240,-0.19,-0.86
,3241,-0.18,-0.71
,3243,1.17,1.09
,3239,-0.16,-0.74
,3228,0.3,0.14
,3242,1.02,0.87
,3231,,
,3250,-0.2,-0.79
,3260,0.09,0.1
,3256,1.49,1.87
,3221,0.2,0.11
,3251,0.78,0.35
,3253,1.55,1.7
17 Beta Cnc,3249,1.48,1.77
,3248,1.56,0.4
,3108,0.03,0.03
,3255,0.02,
21 Pup,3257,0.01,0.08
,3252,0.98,0.75
29 Lyn,3235,0.16,0.13
,3274,0.39,0
,3261,1.04,
,3267,0.23,-0.03
,3246,1.54,1.9
,3266,1.24,
,3280,1.15,1.19
,3259,0.76,0.33
Alpha Cha,3318,0.39,-0.02
,3270,0.22,0.11
,3265,0.33,0.17
,3245,0.89,
,3273,-0.08,-0.37
,3216,0.9,
Kappa1 Vol,3301,-0.06,-0.31
,3269,0.97,0.64
Kappa2 Vol,3302,-0.1,-0.31
18 Chi Cnc,3262,0.47,-0.06
,3271,0.6,0.15
,3272,1.33,1.52
,3264,1.13,1.06
30 Lyn,3254,0.39,-0.1
,3276,1.04,
,3258,0.28,
19 Lambda Cnc,3268,-0.03,-0.12
Theta Cha,3340,1.16,1.2
,3236,1.54,1.46
,3298,0.93,
,3293,-0.09,-0.8
,3278,0.02,-0.02
,3283,-0.19,-0.82
,3279,0.77,0.5
,3282,1.45,1.6
,3286,0.17,
,3281,1.05,0.98
Eta Vol,3334,0.01,-0.01
,3285,0.22,0.13
Epsilon Car,3307,1.28,0.19
,3294,-0.15,-0.84
,3263,0.97,
22 Pup,3289,1,0.89
,3291,0.37,0.27
31 Lyn,3275,1.55,1.9
,3288,1.67,1.85
,3300,0.01,
,3296,1.63,1.86
20 Cnc,3284,0.17,0.13
,3277,0.11,0.08
21 Cnc,3290,1.49,1.54
,3393,1.02,0.74
,3197,0.01,0.01
1 Hya,3297,0.46,-0.06
,3295,0.46,0.04
,3287,1.59,1.94
,3308,0.06,
,3322,-0.17,-0.69
,3315,1.48,1.83
,3292,1.27,
,3316,0.4,
,3330,-0.16,
,3305,1.53,1.86
,3317,,
,3314,-0.02,-0.02
Beta Vol,3347,1.13,1.14
25 Cnc,3299,0.41,-0.03
,3346,0.96,0.73
,3326,-0.15,-0.63
,3306,0.94,0.64
,3320,0.17,0.13
,3327,-0.09,-0.36
,3328,0.08,0.06
,3341,0.06,
2 Hya,3321,0.22,0.09
22 Phi1 Cnc,3304,1.4,1.68
24 Cnc,3312,0.32,0.07
24 Cnc,3313,0.52,-0.04
,3324,1.19,1.14
27 Cnc,3319,1.6,1.92
23 Phi2 Cnc,3310,0.18,0.09
23 Phi2 Cnc,3311,0.18,0.09
,3331,-0.05,
,3336,0.9,
,3370,-0.03,-0.04
,3325,0.51,0.06
,3349,-0.02,
,3335,0.04,
,3350,0.25,0.14
,3309,0.62,0.12
,3339,0.11,
,3343,-0.15,-0.7
,3338,1.2,1.23
,3337,0.33,0.08
,3344,0.05,0.08
28 Cnc,3329,0.24,0.15
29 Cnc,3333,0.19,0.14
,3342,0.42,0.2
,3345,-0.06,-0.41
,3358,-0.14,-0.79
,3356,-0.16,-0.75
,3359,-0.16,-0.79
,3353,-0.13,-0.55
,3368,0.8,
,3363,-0.15,
,3303,0.97,
1 Omicron UMa,3323,0.84,0.52
,3362,1.49,1.78
,3364,1.95,2.09
,3371,-0.02,-0.49
,3375,-0.15,-0.65
,3348,-0.03,-0.15
,3373,-0.15,-0.56
,3382,1.31,1.4
30 Upsilon1 Cnc,3355,0.28,0.05
,3367,-0.06,
31 Theta Cnc,3357,1.56,1.93
,3361,-0.07,-0.17
,3386,0.58,
,3374,0.27,0.09
,3351,1.01,0.83
34 Cnc,3372,-0.02,-0.04
,3417,0.95,0.66
33 Eta Cnc,3366,1.25,1.39
,3384,0.79,0.34
,3332,1.35,
,3360,1.11,1.17
,3385,0.95,
32 Upsilon2 Cnc,3369,1.02,0.88
,3381,0.27,
,3388,-0.18,-0.65
32 Lyn,3365,0.36,-0.08
,3390,1.56,
,3389,-0.14,
,3378,1.07,0.87
,3376,1.17,1.23
,3383,0,0
,3380,0.33,0.04
,3399,1.56,1.74
,3397,0.75,0.23
2 UMa,3354,0.18,0.1
,3407,1.33,1.38
33 Lyn,3377,0.04,0.02
,3404,0.58,
,3415,-0.14,-0.61
35 Cnc,3387,0.68,0.25
,3414,1,0.81
,3392,1.02,0.87
3 Hya,3398,-0.03,-0.01
,3402,0.37,
,3395,0.52,0.04
,3396,0.71,0.27
,3413,-0.13,-0.54
,3394,,
,3352,,
36 Cnc,3406,0.09,0.1
,3432,1.02,0.83
,3421,0.6,0.14
,3411,1.05,0.89
,3419,0.33,
,3426,0.11,0.16
4 Delta Hya,3410,0,0.01
Eta Pyx,3420,-0.04,
37 Cnc,3412,-0.02,-0.04
,3409,1.12,
,3416,0.44,0.17
,3400,0.96,
,3425,1.59,1.83
,3435,-0.1,-0.35
5 Sigma Hya,3418,1.21,1.28
,3405,,
Theta Vol,3460,0.01,-0.03
,3430,0.73,0.36
,3401,,
3 Pi1 UMa,3391,0.62,0.07
,3443,0,
,3408,1.17,1.05
,3434,0.42,
,3440,-0.16,-0.55
,3424,1.08,0.99
Zeta Pyx,3433,0.9,
,3379,1.02,
,3442,-0.14,-0.57
6 Hya,3431,1.42,1.62
Beta Pyx,3438,0.94,0.65
39 Cnc,3427,0.98,0.83
4 Pi2 UMa,3403,1.17,1.16
,3448,-0.14,-0.5
,3447,-0.18,-0.64
,3423,,
,3439,-0.01,-0.14
,3428,1.02,0.9
41 Epsilon Cnc,3429,0.17,0.16
,3444,1.65,2
,3457,-0.11,-0.8
,3445,0.71,0.3
,3455,0.2,0.14
34 Lyn,3422,0.99,0.75
,3437,-0.02,0.02
,3453,-0.21,-0.9
,3452,0.12,0.12
Eta Cha,3502,-0.1,-0.35
9 Hya,3441,1.06,0.92
,3456,0.21,-0.53
,3446,0.16,0.13
,3462,-0.18,-0.88
,3466,-0.15,-0.54
,3471,1.18,1.2
,3467,-0.17,-0.66
,3463,0.02,0.01
,3436,0.96,
45 Cnc,3450,0.39,0.25
,3524,0.23,0.08
7 Eta Hya,3454,-0.2,-0.74
43 Gamma Cnc,3449,0.02,0.01
Alpha Pyx,3468,-0.18,-0.88
,3476,-0.2,-1.03
,3459,0.84,0.49
,3491,1.5,1.78
,3458,-0.06,-0.13
,3451,,
,3477,0.87,0.52
,3495,0.2,0.08
47 Delta Cnc,3461,1.08,0.99
Delta Vel,3485,0.04,0.07
49 Cnc,3465,-0.11,-0.25
,3479,-0.15,
,3473,0.22,
10 Hya,3469,0.2,0.1
,3489,-0.09,-0.47
,3472,0.52,0.06
46 Cnc,3464,0.94,0.63
,3483,0.08,
,3543,1.6,1.97
,3487,0,-0.05
,3478,1.1,1.04
,3480,1.61,1.9
12 Hya,3484,0.9,0.62
,3488,-0.05,-0.19
,3494,0.27,-0.53
48 Iota Cnc,3474,0.04,0.04
48 Iota Cnc,3475,1.01,0.78
,3498,-0.17,-0.73
11 Epsilon Hya,3482,0.68,0.36
,3490,-0.13,-0.58
50 Cnc,3481,0.11,0.05
,3486,0.04,0.08
,3496,0.56,0.38
,3497,0.58,0.1
,3503,-0.1,-0.32
,3493,1.28,1.42
,3501,-0.2,-0.77
13 Rho Hya,3492,-0.04,-0.04
,3470,-0.11,-0.4
14 Hya,3500,-0.09,-0.35
,3514,0.06,0.13
,3507,0.23,
,3520,0.05,0.15
,3544,0.2,0.17
,3512,0.87,
,3517,0.23,
,3513,0.95,
,3525,-0.1,-0.95
,3516,-0.08,-0.19
Gamma Pyx,3518,1.27,1.4
,3499,0.49,0.01
,3527,-0.21,-0.99
,3537,0.42,0.07
,3504,-0.01,0
54 Cnc,3510,0.64,
,3530,0.04,0.08
15 Hya,3523,0.15,0.14
,3536,-0.11,-0.41
35 Lyn,3508,0.98,0.68
,3511,1.25,
,3509,1.26,1.33
,3526,0.12,0.14
,3533,1.46,
53 Cnc,3521,1.62,
,3529,1.14,1.14
51 Sigma1 Cnc,3519,0.22,0.07
55 Rho1 Cnc,3522,0.87,0.63
,3539,-0.15,-0.59
,3534,0.56,
,3542,0,-0.13
,3535,1.5,1.89
,3549,-0.02,-0.08
,3506,,
5 UMa,3505,0.28,0.11
,3560,-0.08,-0.55
,3551,0.26,
,3548,0.96,
,3528,0.04,0.11
57 Cnc,3532,1.05,
,3538,0.67,0.22
,3568,-0.11,-0.49
,3571,-0.1,-0.45
,3570,0.48,0
,3554,1.32,
,3562,-0.16,-0.63
,3541,3.36,
16 Zeta Hya,3547,1,0.8
17 Hya,3552,,
17 Hya,3553,0.22,0.13
Delta Pyx,3556,0.11,0.14
58 Rho2 Cnc,3540,1,0.75
60 Cnc,3550,1.46,
,3559,0.16,0.12
,3574,-0.12,-0.47
,3546,0.35,0.06
,3564,1.54,
,3557,1,0.75
6 UMa,3531,0.86,0.57
Zeta Oct,3678,0.31,0.07
,3545,1.09,1.06
59 Sigma2 Cnc,3555,0.12,0.12
,3582,-0.19,-0.77
,3558,1,
62 Omicron1 Cnc,3561,0.15,
63 Omicron2 Cnc,3565,0.2,
,3567,0.98,0.76
,3583,1.07,0.88
61 Cnc,3563,0.43,-0.02
,3573,0.06,0.09
,3566,-0.01,0.01
65 Alpha Cnc,3572,0.14,0.15
,3578,0.53,0.08
,3588,0.25,0.19
,3577,1.55,1.69
9 Iota UMa,3569,0.19,0.07
,3585,1,
,3598,0.42,
64 Sigma3 Cnc,3575,0.93,
,3584,0.46,
,3591,0.65,0.38
,3593,-0.16,-0.82
,3580,,
,3579,0.44,0.05
,3604,1.21,
,3610,1.63,1.97
,3597,1.13,
,3600,-0.14,-0.58
66 Cnc,3587,0,0.09
,3590,1.11,1.02
,3586,0.3,0.04
,3605,-0.12,-0.45
67 Cnc,3589,,
,3596,1.15,1.04
,3602,1,
Alpha Vol,3615,0.14,0.13
8 Rho UMa,3576,1.53,1.88
69 Nu Cnc,3595,-0.04,-0.1
,3599,1.11,0.98
,3611,-0.09,-0.35
,3607,-0.03,
12 Kappa UMa,3594,0,0.01
,3592,0.02,0.05
,3614,1.2,1.22
70 Cnc,3601,0,0.05
,3622,0.25,0.19
,3606,0.24,0.1
,3643,0.61,0.22
,3603,0.45,0.17
,3642,-0.15,-0.81
18 Omega Hya,3613,1.22,1.21
,3632,1.35,1.58
,3612,1.04,0.82
,3629,-0.15,-0.67
,3608,0.04,0.13
,3618,1.65,1.96
,3631,1.62,1.87
,3617,,
76 Kappa Cnc,3623,-0.11,-0.43
Lambda Vel,3634,1.66,1.81
72 Tau Cnc,3621,0.89,0.57
Kappa Pyx,3628,1.59,1.89
,3620,0.36,0
11 Sigma1 UMa,3609,1.51,1.83
19 Hya,3630,-0.06,-0.19
,3637,0.17,
75 Cnc,3626,0.66,0.2
,3625,0.6,0.04
15 UMa,3619,0.27,0.12
,3638,0,0.01
,3636,0.94,
77 Xi Cnc,3627,0.97,0.8
20 Hya,3641,1.01,0.78
,3647,0.17,
,3635,0.34,-0.1
Epsilon Pyx,3644,0.19,0.16
79 Cnc,3640,0.9,
,3646,0,
13 Sigma2 UMa,3616,0.49,0.02
,3639,1.67,1.03
14 Tau UMa,3624,0.35,0.15
,3659,-0.19,-0.7
,3654,0.23,-0.57
,3663,-0.18,-0.67
,3658,-0.21,-0.84
,3656,-0.11,
,3649,0.32,0.01
,3653,0.98,
,3695,1.09,0.99
,3651,-0.01,0.01
81 Pi1 Cnc,3650,0.73,0.25
21 Hya,3655,0.22,0.12
,3661,-0.11,-0.47
,3673,0.85,
Beta Car,3685,0,0.03
,3668,1.25,
,3667,0,0.01
,3670,-0.05,-0.1
,3657,0.02,0.06
36 Lyn,3652,-0.14,-0.48
,3633,0.96,0.75
,3672,-0.12,-0.5
,3679,0.99,
16 UMa,3648,0.58,0.1
22 Theta Hya,3665,-0.06,-0.12
,3674,-0.14,-0.56
,3677,0.83,
82 Pi2 Cnc,3669,1.32,1.33
,3664,0.86,0.37
,3680,-0.08,-0.26
,3691,-0.1,-0.43
,3581,0.3,0.1
,3675,0.02,0
,3693,1.04,
,3682,1.11,1.06
,3684,0.45,0.1
17 UMa,3660,1.56,1.87
,3645,0.18,0.13
,3688,0.28,-0.13
18 UMa,3662,0.19,0.08
,3696,1.63,1.98
,3692,1.67,1.94
24 Hya,3683,-0.09,-0.3
23 Hya,3681,1.17,1.22
,3694,1.17,
Iota Car,3699,0.18,0.16
,3687,1.06,0.9
,3712,0.42,-0.03
,3720,0.02,0.04
,3721,-0.02,-0.04
,3676,0.04,0.05
,3700,1.41,
,3689,0.07,0.11
,3713,1.26,1.1
,3703,-0.07,-0.38
,3686,,
,3708,0.54,-0.38
38 Lyn,3690,0.06,0.06
,3717,-0.1,-0.57
,3704,1.29,1.39
,3702,0.08,
26 Hya,3706,0.93,0.64
,3710,-0.1,
,3666,,
27 Hya,3709,0.93,0.67
,3716,1.39,
,3697,0.42,-0.11
,3715,0,-0.04
,3714,0.46,0.02
,3728,0.94,0.62
,3701,0.38,-0.06
40 Alpha Lyn,3705,1.55,1.94
,3711,-0.01,0.03
,3707,1.09,1.04
Theta Pyx,3718,1.63,2.02
,3698,1.61,
,3732,0.19,0.11
,3726,1.63,1.94
Kappa Vel,3734,-0.18,-0.75
,3730,0.92,0.65
,3729,1.13,
,3724,0.22,0.11
Lambda Pyx,3733,0.92,0.63
,3740,1.48,1.68
,3723,0.82,0.52
,3735,0.18,
,3739,0.57,0.37
,3742,1.06,
Iota Cha,3795,0.45,0.06
,3737,0.2,0.1
,3727,0.21,0.1
1 Kappa Leo,3731,1.23,1.31
,3725,0.75,
28 Hya,3738,1.52,1.82
,3752,0.15,0.13
,3736,0.97,
,3722,1.46,1.74
,3753,-0.11,-0.5
,3741,1.32,1.44
,3746,0.25,
,3761,0.15,0.1
,3745,-0.1,-0.55
,3777,1.08,0.98
29 Hya,3744,0.05,0.02
,3749,1.14,1.15
30 Alpha Hya,3748,1.44,1.72
,3756,0.2,
,3750,0.64,0.13
,3719,0.07,0.11
2 Omega Leo,3754,0.6,0.14
3 Leo,3755,1.04,0.9
,3783,0.01,-0.02
,3743,0.98,0.74
,3776,1.1,0.97
,3758,0.27,0.11
31 Tau1 Hya,3759,0.46,0
,3763,1.6,1.85
Epsilon Ant,3765,1.44,1.68
,3766,0.22,
,3760,0.22,0.16
,3762,0.84,0.4
,3747,,
,3767,1.57,1.83
,3770,1.36,1.52
,3784,-0.1,-0.42
,3772,1.2,1.22
,3793,1.7,1.68
Psi Vel,3786,0.36,-0.03
7 LMi,3764,1.05,
Zeta1 Ant,3780,0.09,0.09
Zeta1 Ant,3781,0.03,0.03
,3803,1.55,1.89
23 UMa,3757,0.33,0.1
Zeta2 Ant,3789,0.26,0.16
8 LMi,3769,1.53,1.81
,3790,1.29,1.47
,3813,1.35,1.38
,3821,1.56,1.75
,3785,0.24,0.1
4 Lambda Leo,3773,1.54,1.89
,3788,1.19,1.17
5 Xi Leo,3782,1.05,0.86
6 Leo,3779,1.37,1.53
32 Tau2 Hya,3787,0.1,0.09
,3816,1.43,0.23
,3798,0.33,
,3807,0.9,
,3796,0.14,0.12
,3794,0.62,0.27
25 Theta UMa,3775,0.46,0.02
,3802,1.5,1.74
,3801,0.98,0.71
,3778,,
,3812,0.33,
,3808,1.02,0.87
,3792,0.12,0.1
,3805,1.17,1.25
,3810,0.02,
9 LMi,3791,1.27,
,3817,-0.12,-0.58
Zeta Cha,3860,-0.14,-0.57
,3804,1.46,
,3819,-0.18,-0.94
10 LMi,3800,0.92,0.62
,3797,0.22,0.09
,3825,0.01,-0.56
24 UMa,3771,0.77,0.34
33 Hya,3814,1.16,1.13
26 UMa,3799,0.01,0.04
22 UMa,3768,0.48,-0.01
,3809,0.99,0.76
,3823,0.42,
,3811,0.35,0
,3822,0.06,0.03
11 LMi,3815,0.77,0.44
7 Leo,3818,0.01,0.03
,3841,0.1,0.11
,3774,-0.1,-0.33
,3831,0.27,0.15
,3828,0.38,
,3820,1.59,1.86
,3837,1.05,0.89
,3836,0.17,0.13
,3830,1.12,
8 Leo,3826,1.25,
,3751,1.48,1.72
,3833,1.02,
,3840,0.15,0.08
10 Leo,3827,1.05,0.87
,3835,1.12,
34 Hya,3832,-0.04,-0.09
,3806,,
,3842,1,0.68
42 Lyn,3829,0.22,0.12
,3834,1.32,1.46
,3844,0.49,
,3856,-0.07,-0.21
,3824,1.52,
37 Hya,3846,-0.03,-0.14
35 Iota Hya,3845,1.32,1.46
38 Kappa Hya,3849,-0.15,-0.57
,3848,0.08,
,3863,0.2,0.1
,3864,1.09,0.98
14 Omicron Leo,3852,0.49,0.21
,3858,-0.12,-0.58
,3850,1.6,1.77
13 Leo,3853,1.25,
,3868,-0.13,-0.58
43 Lyn,3851,0.95,0.68
,3862,0.53,0
,3838,1.14,
,3867,-0.06,-0.37
13 LMi,3857,0.36,0
,3854,-0.01,0
27 UMa,3839,1.04,0.9
,3855,0.13,0.09
,3872,-0.1,-0.46
15 Leo,3861,0.12,0.08
,3875,-0.04,-0.08
16 Psi Leo,3866,1.63,1.95
Theta Ant,3871,0.51,0.35
,3874,0.3,
,3869,,
,3859,,
,3884,1.22,0.85
,3878,-0.13,-0.94
,3843,1.35,
,3883,-0.11,-0.58
17 Epsilon Leo,3873,0.8,0.47
,3887,0.46,
28 UMa,3865,0.31,-0.02
,3876,1.64,1.96
Nu Cha,3902,0.89,0.57
18 Leo,3877,1.49,
,3879,0.34,0.12
,3886,-0.18,-0.72
,3870,1.62,1.8
Upsilon Car,3890,0.28,0.18
Upsilon Car,3891,0.08,-0.54
,3847,0.25,0.12
19 Leo,3880,0.43,0.09
,3882,1.3,-0.2
,3881,0.62,0.1
,3895,0.94,0.67
,3892,1.24,
20 Leo,3889,0.25,0.18
,3897,1.01,
,3898,-0.1,
,3885,0.28,0.12
4 Sex,3893,0.48,-0.02
,3904,1.08,1.02
,3914,1.32,1.31
29 Upsilon UMa,3888,0.29,0.1
23 Leo,3896,1.58,1.92
,3913,1.36,1.28
6 Sex,3899,0.17,0.11
,3910,1.17,1.16
,3901,0.58,0.11
39 Upsilon1 Hya,3903,0.92,0.65
,3912,1.2,0.99
22 Leo,3900,0.23,0.08
,3908,1.04,2.12
30 Phi UMa,3894,0.03,0.08
,3907,0.94,0.69
7 Sex,3906,-0.04,-0.08
8 Gamma Sex,3909,0.04,0.06
24 Mu Leo,3905,1.22,1.39
,3916,0.62,
,3920,-0.14,-0.86
,3915,1.66,1.94
,3924,-0.15,-0.73
,3919,1.23,1.3
,3925,-0.11,-0.56
,3921,0.04,
,3927,-0.01,-0.01
,3923,1.57,1.93
,3911,1.05,
31 UMa,3917,0.07,0.12
,3930,1.61,1.99
,3944,-0.08,-0.93
,3935,-0.17,-0.75
,3926,1.13,1
,3932,1.2,
,3931,0.22,0.11
Phi Vel,3940,-0.08,-0.62
,3933,0.17,
,3949,-0.1,-0.62
,3941,-0.13,-0.61
,3922,0.89,
,3948,1.13,1.08
19 LMi,3928,0.46,0
,3943,-0.14,
,3929,1.11,0.95
,3938,1.36,1.55
27 Nu Leo,3937,-0.04,-0.13
,3918,1.14,
,3936,,
Eta Ant,3947,0.31,0.08
,3946,-0.1,-0.68
,3942,1.06,
12 Sex,3945,0.27,0.09
,3939,1.46,1.82
29 Pi Leo,3950,1.6,1.93
,3953,0.98,
Mu1 Cha,3983,0.03,0.05
20 LMi,3951,0.66,0.27
,3955,-0.13,-0.69
,3957,1.12,
,3960,0.26,0.1
,3952,-0.19,-0.73
,3956,1.19,
,3967,1.72,1.9
,3966,0.17,
,3964,0.02,
,3971,-0.04,-0.43
,3959,1.66,2.01
,3962,0,0
,3963,-0.06,
Mu2 Cha,3997,0.92,0.53
13 Sex,3961,0.4,-0.02
,3965,0.3,
,3968,1.3,
,3954,0.48,0.04
40 Upsilon2 Hya,3970,-0.09,-0.27
,3958,,
,3972,1.11,1.07
,3969,0.37,0.15
,3978,0.98,0.82
,3976,0.88,0.55
14 Sex,3973,0.94,0.72
,3977,1.5,1.68
30 Eta Leo,3975,-0.03,-0.21
21 LMi,3974,0.18,0.08
31 Leo,3980,1.45,1.75
15 Alpha Sex,3981,-0.04,-0.07
,3984,0.98,
,3979,0.45,0.01
32 Alpha Leo,3982,-0.11,-0.36
,3934,1.52,1.64
,3986,-0.01,-0.04
,3995,0.98,0.75
,3985,0.02,0.02
,3990,-0.12,-0.69
,3999,1.6,1.75
,4002,0.02,-0.02
,3992,0.6,0.16
,3988,0.18,0.15
,3991,0.36,0
17 Sex,3989,0.02,-0.05
41 Lambda Hya,3994,1.01,0.92
,4001,1.24,1.4
18 Sex,3996,1.3,1.42
,3987,1.25,
,3993,1.29,
,4000,0.01,0.01
,4007,1.66,1.75
34 Leo,3998,0.46,0.02
,4009,-0.08,-0.91
,4003,0.01,-0.01
,4010,1.17,
,4005,0.5,
19 Sex,4004,1.18,1.11
,4018,-0.08,-0.48
,4011,0.31,
,4022,-0.11,-0.66
,4017,0.25,
,4013,0.59,0.09
,4020,0.14,
,4025,0.21,0.18
Omega Car,4037,-0.08,-0.33
,4015,1.21,1.25
,4006,0.85,
,4019,0.94,
,4012,0.56,0.12
,4023,0.05,0.06
22 LMi,4014,,
,4008,1.6,
,4038,-0.17,-0.76
,4029,1.06,0.93
,4036,1.52,
,4043,0.2,
,4034,1.1,
23 LMi,4024,0.01,0.01
,4028,,
24 LMi,4027,0.6,0.16
35 Leo,4030,0.67,
,4045,1.54,
37 Leo,4035,1.61,1.95
36 Zeta Leo,4031,0.31,0.2
,4032,1.2,1.22
,4040,0.48,
,4050,1.54,1.72
33 Lambda UMa,4033,0.03,0.06
39 Leo,4039,0.5,-0.05
22 Epsilon Sex,4042,0.31,0.13
,4021,0.32,0.2
,4016,0.23,-0.02
32 UMa,4026,0.12,0.1
,4049,0.24,
,4041,-0.02,-0.1
,4056,-0.06,
,4061,0.48,
,4053,1.28,
,4044,,
,4048,,
,4065,0.05,0.05
,4055,0.26,
,4046,1.02,
,4059,0.9,0.6
,4063,1.62,1.82
40 Leo,4054,0.45,0.01
